source_name,ROI_01,ROI_02,ROI_03,ROI_04,ROI_05,ROI_06,ROI_07,ROI_08,ROI_09,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14
TRUTH,581.3000,403.5000,278.1000,190.9400,133.2700,96.8900,64.0700,46.4200,31.9700,22.5600,15.8130,11.2370,7.9110,5.5920
VUMC_MRF_1000_TE3.3_FSC,477.5839,288.7248,218.9262,179.7181,151.2752,124.9664,95.4228,70.9530,53.3154,48.6577,31.5570,24.6711,28.2953,34.1879
VUMC_MRF_1000_TE3.3_US,498.7248,301.4094,217.8792,186.1342,165.6107,123.7718,97.2081,71.6510,55.9463,50.7651,29.6644,22.4966,25.4094,30.6711
VUMC_MRF_1000_TE5.0_FSC,419.2617,244.0268,177.0201,162.3490,162.1074,163.6107,112.0403,74.4295,51.1007,49.8121,36.3490,32.0671,37.5302,60.3087
VUMC_MRF_1000_TE5.0_US,400.0000,231.6779,168.3758,155.0336,154.8591,151.8389,103.4362,69.4765,49.1544,45.4765,32.1477,28.2282,32.0268,49.2215
VUMC_MRF_210_TE3.3_US,618.9262,352.0805,260.8054,176.1342,134.1074,107.1544,72.0000,47.7852,34.8322,32.1477,7.0201,3.8523,15.8255,8.5772
VUMC_MRF_210_TE4.0_US,614.1611,347.3826,265.7047,177.7584,132.7919,109.6242,70.0268,50.0805,37.1275,34.0671,10.8322,7.4899,22.2819,8.3356
VUMC_MRF_500_TE3.3_FSC,577.7181,329.9329,225.5705,175.0336,136.4295,94.2550,67.7450,42.9396,30.3356,23.2886,4.2013,2.3490,2.7651,2.0000
VUMC_MRF_500_TE3.3_US,562.8859,290.2685,208.3624,154.3758,120.4698,80.8054,58.3758,37.0336,26.0671,22.7383,3.0336,2.0671,2.3490,2.0403
VUMC_MRF_500_TE5.2_FSC,591.4094,369.8658,240.4027,193.1544,154.9396,102.5369,67.2886,47.6644,41.6779,35.7315,17.8658,13.1409,20.4698,10.1745
VUMC_MRF_500_TE5.2_US,590.7383,341.6107,233.1141,174.5369,140.8725,95.8658,62.3356,43.7584,36.6711,33.0470,14.5235,9.5973,15.3826,4.8456
