flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.084857,0.000000,0.00,0.00
0.091571,180.000000,0.00,0.00
0.098286,0.000000,0.00,0.00
0.105000,180.000000,0.00,0.00
0.111714,0.000000,0.00,0.00
0.118429,180.000000,0.00,0.00
0.125143,0.000000,0.00,0.00
0.131857,180.000000,0.00,0.00
0.138429,0.000000,0.00,0.00
0.145143,180.000000,0.00,0.00
0.151714,0.000000,0.00,0.00
0.158286,180.000000,0.00,0.00
0.164857,0.000000,0.00,0.00
0.171429,180.000000,0.00,0.00
0.178000,0.000000,0.00,0.00
0.184571,180.000000,0.00,0.00
0.191000,0.000000,0.00,0.00
0.197429,180.000000,0.00,0.00
0.203857,0.000000,0.00,0.00
0.210286,180.000000,0.00,0.00
0.216571,0.000000,0.00,0.00
0.222857,180.000000,0.00,0.00
0.229143,0.000000,0.00,0.00
0.235429,180.000000,0.00,0.00
0.241571,0.000000,0.00,0.00
0.247857,180.000000,0.00,0.00
0.253857,0.000000,0.00,0.00
0.260000,180.000000,0.00,0.00
0.266000,0.000000,0.00,0.00
0.272000,180.000000,0.00,0.00
0.277857,0.000000,0.00,0.00
0.283714,180.000000,0.00,0.00
0.289571,0.000000,0.00,0.00
0.295286,180.000000,0.00,0.00
0.301000,0.000000,0.00,0.00
0.306714,180.000000,0.00,0.00
0.312286,0.000000,0.00,0.00
0.317857,180.000000,0.00,0.00
0.323286,0.000000,0.00,0.00
0.328714,180.000000,0.00,0.00
0.334143,0.000000,0.00,0.00
0.339429,180.000000,0.00,0.00
0.344571,0.000000,0.00,0.00
0.349714,180.000000,0.00,0.00
0.354857,0.000000,0.00,0.00
0.359857,180.000000,0.00,0.00
0.364857,0.000000,0.00,0.00
0.369714,180.000000,0.00,0.00
0.374429,0.000000,0.00,0.00
0.379143,180.000000,0.00,0.00
0.383857,0.000000,0.00,0.00
0.388429,180.000000,0.00,0.00
0.392857,0.000000,0.00,0.00
0.397286,180.000000,0.00,0.00
0.401714,0.000000,0.00,0.00
0.405857,180.000000,0.00,0.00
0.410000,0.000000,0.00,0.00
0.414143,180.000000,0.00,0.00
0.418143,0.000000,0.00,0.00
0.422000,180.000000,0.00,0.00
0.425857,0.000000,0.00,0.00
0.429571,180.000000,0.00,0.00
0.433286,0.000000,0.00,0.00
0.436857,180.000000,0.00,0.00
0.440286,0.000000,0.00,0.00
0.443714,180.000000,0.00,0.00
0.447000,0.000000,0.00,0.00
0.450143,180.000000,0.00,0.00
0.453286,0.000000,0.00,0.00
0.456286,180.000000,0.00,0.00
0.459143,0.000000,0.00,0.00
0.462000,180.000000,0.00,0.00
0.464714,0.000000,0.00,0.00
0.467429,180.000000,0.00,0.00
0.469857,0.000000,0.00,0.00
0.472286,180.000000,0.00,0.00
0.474714,0.000000,0.00,0.00
0.476857,180.000000,0.00,0.00
0.479000,0.000000,0.00,0.00
0.481000,180.000000,0.00,0.00
0.483000,0.000000,0.00,0.00
0.484857,180.000000,0.00,0.00
0.486571,0.000000,0.00,0.00
0.488143,180.000000,0.00,0.00
0.489714,0.000000,0.00,0.00
0.491143,180.000000,0.00,0.00
0.492429,0.000000,0.00,0.00
0.493571,180.000000,0.00,0.00
0.494714,0.000000,0.00,0.00
0.495714,180.000000,0.00,0.00
