flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.374814,0.000000,0.00,0.00
0.386728,0.000000,0.00,0.00
0.398508,0.000000,0.00,0.00
0.410180,0.000000,0.00,0.00
0.421773,0.000000,0.00,0.00
0.433320,0.000000,0.00,0.00
0.444859,0.000000,0.00,0.00
0.456429,0.000000,0.00,0.00
0.468069,0.000000,0.00,0.00
0.479820,0.000000,0.00,0.00
0.491721,0.000000,0.00,0.00
0.503809,0.000000,0.00,0.00
0.516115,0.000000,0.00,0.00
0.528669,0.000000,0.00,0.00
0.541492,0.000000,0.00,0.00
0.554599,0.000000,0.00,0.00
0.568001,0.000000,0.00,0.00
0.581698,0.000000,0.00,0.00
0.595684,0.000000,0.00,0.00
0.609947,0.000000,0.00,0.00
0.624467,0.000000,0.00,0.00
0.639216,0.000000,0.00,0.00
0.654162,0.000000,0.00,0.00
0.669269,0.000000,0.00,0.00
0.684494,0.000000,0.00,0.00
0.699793,0.000000,0.00,0.00
0.715119,0.000000,0.00,0.00
0.730423,0.000000,0.00,0.00
0.745657,0.000000,0.00,0.00
0.760770,0.000000,0.00,0.00
0.775714,0.000000,0.00,0.00
0.790442,0.000000,0.00,0.00
0.804907,0.000000,0.00,0.00
0.819065,0.000000,0.00,0.00
0.832873,0.000000,0.00,0.00
0.846291,0.000000,0.00,0.00
0.859280,0.000000,0.00,0.00
0.871803,0.000000,0.00,0.00
0.883827,0.000000,0.00,0.00
0.895320,0.000000,0.00,0.00
0.906252,0.000000,0.00,0.00
0.916598,0.000000,0.00,0.00
0.926334,0.000000,0.00,0.00
0.935440,0.000000,0.00,0.00
0.943901,0.000000,0.00,0.00
0.951705,0.000000,0.00,0.00
0.958846,0.000000,0.00,0.00
0.965322,0.000000,0.00,0.00
0.971137,0.000000,0.00,0.00
0.976302,0.000000,0.00,0.00
0.980832,0.000000,0.00,0.00
0.984750,0.000000,0.00,0.00
0.988084,0.000000,0.00,0.00
0.990866,0.000000,0.00,0.00
0.993135,0.000000,0.00,0.00
0.994935,0.000000,0.00,0.00
0.996311,0.000000,0.00,0.00
0.997312,0.000000,0.00,0.00
0.997990,0.000000,0.00,0.00
0.998396,0.000000,0.00,0.00
0.998581,0.000000,0.00,0.00
0.998593,0.000000,0.00,0.00
0.998480,0.000000,0.00,0.00
0.998285,0.000000,0.00,0.00
0.998047,0.000000,0.00,0.00
0.997799,0.000000,0.00,0.00
0.997568,0.000000,0.00,0.00
0.997378,0.000000,0.00,0.00
0.997245,0.000000,0.00,0.00
0.997179,0.000000,0.00,0.00
0.997184,0.000000,0.00,0.00
0.997261,0.000000,0.00,0.00
0.997405,0.000000,0.00,0.00
0.997608,0.000000,0.00,0.00
0.997858,0.000000,0.00,0.00
0.998142,0.000000,0.00,0.00
0.998445,0.000000,0.00,0.00
0.998753,0.000000,0.00,0.00
0.999051,0.000000,0.00,0.00
0.999326,0.000000,0.00,0.00
0.999564,0.000000,0.00,0.00
0.999758,0.000000,0.00,0.00
0.999898,0.000000,0.00,0.00
0.999980,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
0.999958,0.000000,0.00,0.00
0.999854,0.000000,0.00,0.00
0.999690,0.000000,0.00,0.00
0.999472,0.000000,0.00,0.00
0.999201,0.000000,0.00,0.00
0.998881,0.000000,0.00,0.00
0.998516,0.000000,0.00,0.00
0.998106,0.000000,0.00,0.00
0.997651,0.000000,0.00,0.00
0.997147,0.000000,0.00,0.00
0.996589,0.000000,0.00,0.00
0.995967,0.000000,0.00,0.00
0.995268,0.000000,0.00,0.00
0.994476,0.000000,0.00,0.00
0.993572,0.000000,0.00,0.00
0.992533,0.000000,0.00,0.00
0.991334,0.000000,0.00,0.00
0.989949,0.000000,0.00,0.00
0.988346,0.000000,0.00,0.00
0.986498,0.000000,0.00,0.00
0.984373,0.000000,0.00,0.00
0.981943,0.000000,0.00,0.00
0.979178,0.000000,0.00,0.00
0.976053,0.000000,0.00,0.00
0.972545,0.000000,0.00,0.00
0.968633,0.000000,0.00,0.00
0.964303,0.000000,0.00,0.00
0.959542,0.000000,0.00,0.00
0.954345,0.000000,0.00,0.00
0.948711,0.000000,0.00,0.00
0.942644,0.000000,0.00,0.00
0.936154,0.000000,0.00,0.00
0.929256,0.000000,0.00,0.00
0.921972,0.000000,0.00,0.00
0.914328,0.000000,0.00,0.00
0.906353,0.000000,0.00,0.00
0.898083,0.000000,0.00,0.00
0.889558,0.000000,0.00,0.00
0.880818,0.000000,0.00,0.00
0.871910,0.000000,0.00,0.00
0.862879,0.000000,0.00,0.00
0.853773,0.000000,0.00,0.00
0.844641,0.000000,0.00,0.00
0.835529,0.000000,0.00,0.00
0.826483,0.000000,0.00,0.00
0.817547,0.000000,0.00,0.00
0.808761,0.000000,0.00,0.00
0.800161,0.000000,0.00,0.00
0.791779,0.000000,0.00,0.00
0.783639,0.000000,0.00,0.00
0.775762,0.000000,0.00,0.00
0.768160,0.000000,0.00,0.00
0.760839,0.000000,0.00,0.00
0.753798,0.000000,0.00,0.00
0.747029,0.000000,0.00,0.00
0.740517,0.000000,0.00,0.00
0.734239,0.000000,0.00,0.00
0.728168,0.000000,0.00,0.00
0.722269,0.000000,0.00,0.00
0.716504,0.000000,0.00,0.00
0.710831,0.000000,0.00,0.00
0.705203,0.000000,0.00,0.00
0.699571,0.000000,0.00,0.00
0.693887,0.000000,0.00,0.00
0.688102,0.000000,0.00,0.00
0.682165,0.000000,0.00,0.00
0.676031,0.000000,0.00,0.00
0.669655,0.000000,0.00,0.00
0.662998,0.000000,0.00,0.00
0.656023,0.000000,0.00,0.00
0.648700,0.000000,0.00,0.00
0.641005,0.000000,0.00,0.00
0.632921,0.000000,0.00,0.00
0.624437,0.000000,0.00,0.00
0.615550,0.000000,0.00,0.00
0.606264,0.000000,0.00,0.00
0.596592,0.000000,0.00,0.00
0.586554,0.000000,0.00,0.00
0.576177,0.000000,0.00,0.00
0.565496,0.000000,0.00,0.00
0.554555,0.000000,0.00,0.00
0.543400,0.000000,0.00,0.00
0.532088,0.000000,0.00,0.00
0.520676,0.000000,0.00,0.00
0.509230,0.000000,0.00,0.00
0.497817,0.000000,0.00,0.00
0.486506,0.000000,0.00,0.00
0.475368,0.000000,0.00,0.00
0.464474,0.000000,0.00,0.00
0.453895,0.000000,0.00,0.00
0.443698,0.000000,0.00,0.00
0.433946,0.000000,0.00,0.00
0.424700,0.000000,0.00,0.00
0.416014,0.000000,0.00,0.00
