flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.084857,0.000000,0.00,0.00
0.098286,0.000000,0.00,0.00
0.111714,0.000000,0.00,0.00
0.125143,0.000000,0.00,0.00
0.138429,0.000000,0.00,0.00
0.151714,0.000000,0.00,0.00
0.164857,0.000000,0.00,0.00
0.178000,0.000000,0.00,0.00
0.191000,0.000000,0.00,0.00
0.203857,0.000000,0.00,0.00
0.216571,0.000000,0.00,0.00
0.229143,0.000000,0.00,0.00
0.241571,0.000000,0.00,0.00
0.253857,0.000000,0.00,0.00
0.266000,0.000000,0.00,0.00
0.277857,0.000000,0.00,0.00
0.289571,0.000000,0.00,0.00
0.301000,0.000000,0.00,0.00
0.312286,0.000000,0.00,0.00
0.323286,0.000000,0.00,0.00
0.334143,0.000000,0.00,0.00
0.344571,0.000000,0.00,0.00
0.354857,0.000000,0.00,0.00
0.364857,0.000000,0.00,0.00
0.374429,0.000000,0.00,0.00
0.383857,0.000000,0.00,0.00
0.392857,0.000000,0.00,0.00
0.401714,0.000000,0.00,0.00
0.410000,0.000000,0.00,0.00
0.418143,0.000000,0.00,0.00
0.425857,0.000000,0.00,0.00
0.433286,0.000000,0.00,0.00
0.440286,0.000000,0.00,0.00
0.447000,0.000000,0.00,0.00
0.453286,0.000000,0.00,0.00
0.459143,0.000000,0.00,0.00
0.464714,0.000000,0.00,0.00
0.469857,0.000000,0.00,0.00
0.474714,0.000000,0.00,0.00
0.479000,0.000000,0.00,0.00
0.483000,0.000000,0.00,0.00
0.486571,0.000000,0.00,0.00
0.489714,0.000000,0.00,0.00
0.492429,0.000000,0.00,0.00
0.494714,0.000000,0.00,0.00
0.496571,0.000000,0.00,0.00
0.498143,0.000000,0.00,0.00
0.499143,0.000000,0.00,0.00
0.499857,0.000000,0.00,0.00
0.500000,0.000000,0.00,0.00
0.499857,0.000000,0.00,0.00
0.499143,0.000000,0.00,0.00
0.498143,0.000000,0.00,0.00
0.496571,0.000000,0.00,0.00
0.494714,0.000000,0.00,0.00
0.492429,0.000000,0.00,0.00
0.489714,0.000000,0.00,0.00
0.486571,0.000000,0.00,0.00
0.483000,0.000000,0.00,0.00
0.479000,0.000000,0.00,0.00
0.474714,0.000000,0.00,0.00
0.469857,0.000000,0.00,0.00
0.464714,0.000000,0.00,0.00
0.459143,0.000000,0.00,0.00
0.453286,0.000000,0.00,0.00
0.447000,0.000000,0.00,0.00
0.440286,0.000000,0.00,0.00
0.433286,0.000000,0.00,0.00
0.425857,0.000000,0.00,0.00
0.418143,0.000000,0.00,0.00
0.410000,0.000000,0.00,0.00
0.401714,0.000000,0.00,0.00
0.392857,0.000000,0.00,0.00
0.383857,0.000000,0.00,0.00
0.374429,0.000000,0.00,0.00
0.364857,0.000000,0.00,0.00
0.354857,0.000000,0.00,0.00
0.344571,0.000000,0.00,0.00
0.334143,0.000000,0.00,0.00
0.323286,0.000000,0.00,0.00
0.312286,0.000000,0.00,0.00
0.301000,0.000000,0.00,0.00
0.289571,0.000000,0.00,0.00
0.277857,0.000000,0.00,0.00
0.266000,0.000000,0.00,0.00
0.253857,0.000000,0.00,0.00
0.241571,0.000000,0.00,0.00
0.229143,0.000000,0.00,0.00
0.216571,0.000000,0.00,0.00
0.203857,0.000000,0.00,0.00
0.191000,0.000000,0.00,0.00
0.178000,0.000000,0.00,0.00
0.164857,0.000000,0.00,0.00
0.151714,0.000000,0.00,0.00
0.138429,0.000000,0.00,0.00
0.125143,0.000000,0.00,0.00
0.111714,0.000000,0.00,0.00
0.098286,0.000000,0.00,0.00
0.084857,0.000000,0.00,0.00
0.071429,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.000000,0.000000,0.00,0.00
0.122857,0.000000,0.00,0.00
0.146714,0.000000,0.00,0.00
0.170429,0.000000,0.00,0.00
0.193857,0.000000,0.00,0.00
0.217286,0.000000,0.00,0.00
0.240714,0.000000,0.00,0.00
0.263857,0.000000,0.00,0.00
0.287000,0.000000,0.00,0.00
0.309714,0.000000,0.00,0.00
0.332429,0.000000,0.00,0.00
0.354857,0.000000,0.00,0.00
0.377143,0.000000,0.00,0.00
0.399000,0.000000,0.00,0.00
0.420571,0.000000,0.00,0.00
0.441857,0.000000,0.00,0.00
0.462857,0.000000,0.00,0.00
0.483286,0.000000,0.00,0.00
0.503571,0.000000,0.00,0.00
0.523429,0.000000,0.00,0.00
0.542857,0.000000,0.00,0.00
0.561714,0.000000,0.00,0.00
0.580286,0.000000,0.00,0.00
0.598286,0.000000,0.00,0.00
0.615714,0.000000,0.00,0.00
0.632857,0.000000,0.00,0.00
0.649286,0.000000,0.00,0.00
0.665286,0.000000,0.00,0.00
0.680714,0.000000,0.00,0.00
0.695571,0.000000,0.00,0.00
0.709714,0.000000,0.00,0.00
0.723429,0.000000,0.00,0.00
0.736286,0.000000,0.00,0.00
0.748857,0.000000,0.00,0.00
0.760571,0.000000,0.00,0.00
0.771714,0.000000,0.00,0.00
0.782000,0.000000,0.00,0.00
0.791714,0.000000,0.00,0.00
0.800857,0.000000,0.00,0.00
0.809143,0.000000,0.00,0.00
0.816857,0.000000,0.00,0.00
0.823857,0.000000,0.00,0.00
0.830286,0.000000,0.00,0.00
0.835571,0.000000,0.00,0.00
0.840571,0.000000,0.00,0.00
0.844571,0.000000,0.00,0.00
0.847857,0.000000,0.00,0.00
0.850429,0.000000,0.00,0.00
0.852429,0.000000,0.00,0.00
0.853429,0.000000,0.00,0.00
0.853857,0.000000,0.00,0.00
0.853429,0.000000,0.00,0.00
0.852429,0.000000,0.00,0.00
0.850429,0.000000,0.00,0.00
0.847857,0.000000,0.00,0.00
0.844571,0.000000,0.00,0.00
0.840571,0.000000,0.00,0.00
0.835571,0.000000,0.00,0.00
0.830286,0.000000,0.00,0.00
0.823857,0.000000,0.00,0.00
0.816857,0.000000,0.00,0.00
0.809143,0.000000,0.00,0.00
0.800857,0.000000,0.00,0.00
0.791714,0.000000,0.00,0.00
0.782000,0.000000,0.00,0.00
0.771714,0.000000,0.00,0.00
0.760571,0.000000,0.00,0.00
0.748857,0.000000,0.00,0.00
0.736286,0.000000,0.00,0.00
0.723429,0.000000,0.00,0.00
0.709714,0.000000,0.00,0.00
0.695571,0.000000,0.00,0.00
0.680714,0.000000,0.00,0.00
0.665286,0.000000,0.00,0.00
0.649286,0.000000,0.00,0.00
0.632857,0.000000,0.00,0.00
0.615714,0.000000,0.00,0.00
0.598286,0.000000,0.00,0.00
0.580286,0.000000,0.00,0.00
0.561714,0.000000,0.00,0.00
0.542857,0.000000,0.00,0.00
0.523429,0.000000,0.00,0.00
0.503571,0.000000,0.00,0.00
0.483286,0.000000,0.00,0.00
0.462857,0.000000,0.00,0.00
0.441857,0.000000,0.00,0.00
0.420571,0.000000,0.00,0.00
0.399000,0.000000,0.00,0.00
0.377143,0.000000,0.00,0.00
0.354857,0.000000,0.00,0.00
0.332429,0.000000,0.00,0.00
0.309714,0.000000,0.00,0.00
0.287000,0.000000,0.00,0.00
0.263857,0.000000,0.00,0.00
0.240714,0.000000,0.00,0.00
0.217286,0.000000,0.00,0.00
0.193857,0.000000,0.00,0.00
0.170429,0.000000,0.00,0.00
0.146714,0.000000,0.00,0.00
0.122857,0.000000,0.00,0.00
